1|biżuteria - CK|biżuteria - CK|1
2|biżuteria --- inne|biżuteria --- inne|1
3|bursztyn - biżuteria|bursztyn - biżuteria|1
4|kamienie - biżuteria|kamienie - biżuteria|1
5|koralowiec - korale|koralowiec - korale|1
6|opakowanie|opakowanie|1
7|perły|perły|1
8|rzemyk|rzemyk|1
9|srebro|srebro pr. 925|1
10|srebro - bursztyn|srebro - bursztyn|1
11|turkusy|turkusy|1
12|zegarek - srebrny pr. 925|zegarek - srebrny pr. 925|1
13|alabaster - chiński (masa, np. od Fika)|alabaster - chiński|2
14|alabaster - grecki (białe, Hanipol)|alabaster - grecki|2
15|album|album|2
16|artystyczne wyr., ozdoby, dekor. (figurki, kwiaty)|wyroby artystyczne|2
17|barek (globobar)|barek (globobar)|2
18|barometr|barometr|2
19|bateria|bateria|2
20|ceramika (donice, wazony)|ceramika|2
21|ceramika - figurka|ceramika - figurka|2
22|drewno (wyr. drewno: figurki, ramki, wazony, itp.)|wyroby z drewna|2
23|kamień (wyroby z kamienia: onyks, malachit i inne)|wyroby z kamienia|2
24|kartka okolicznościowa|kartka okolicznościowa|2
25|lampa|lampa|2
26|lustro|lustro|2
27|materiał (poduszka, krawat, makatka, śliniak)|wyroby z materiału|2
28|metal (mosiądz; figurki, świeczniki, itp.)|wyroby z metalu|2
29|obrazek|obrazek|2
30|olej|olej|2
31|opakowanie|opakowanie|2
32|paliwo (gaz, knot i inne)|paliwo|2
33|pasta do biżuterii|pasta do biżuterii|2
34|plater|plater|2
35|porcelana|porcelana|2
36|porcelana - angielska|porcelana - angielska|2
37|porcelana - chińska|porcelana - chińska|2
38|porcelana - śląska|porcelana - śląska|2
39|pościel|pościel|2
40|replika broni|replika broni|2
41|ręcznik|ręcznik|2
42|scyzoryk|scyzoryk|2
43|skóra (portfele, etui, saszetki, organizer, itp.)|wyroby ze skóry|2
44|skóra - pasek|skóra - pasek|2
45|skóra - rękawiczki|skóra - rękawiczki|2
46|skóra - torebka - teczka|skóra - torebka - teczka|2
47|szachy|szachy|2
48|szkło|szkło|2
49|szkło - bursztyn|szkło - bursztyn|2
50|sztućce|sztućce|2
51|zabawka (różne rzeczy mogące być zabawką)|zabawka|2
52|zapalniczka|zapalniczka|2
53|zegar (lub budzik)|zegar - budzik|2
54|zegarek|zegarek|2
55|zegarek - CK|zegarek - CK|2
56|zegarek - adidas|zegarek - adidas|2
57|zegarek - adriatica|zegarek - adriatica|2
58|zegarek - atlantic|zegarek - atlantic|2
59|zegarek - casio|zegarek - casio|2
60|zegarek - certina|zegarek - certina|2
61|zegarek - citizen|zegarek - citizen|2
62|zegarek - delbana|zegarek - delbana|2
63|zegarek - esprit|zegarek - esprit|2
64|zegarek - grovana|zegarek - grovana|2
65|zegarek - junghans|zegarek - junghans|2
66|zegarek - longines|zegarek - longines|2
67|zegarek - maurice lacroix|zegarek - maurice lacroix|2
68|zegarek - pacific|zegarek - pacific|2
69|zegarek - pasek do zegarka|pasek do zegarka|2
70|zegarek - qq|zegarek - qq|2
71|zegarek - reveil|zegarek - reveil|2
72|zegarek - roamer|zegarek - roamer|2
73|zegarek - seiko|zegarek - seiko|2
74|zegarek - swatch|zegarek - swatch|2
75|zegarek - timemaster|zegarek - timemaster|2
76|zegarek - timex|zegarek - timex|2
77|zegarek - tissot|zegarek - tissot|2
78|zestaw przyborów (biurowe, korkociągi)|zestaw przyborów (biurowe, korkociągi)|2
79|świeca|świeca|2
80|apaszka (szal)|apaszka (szal)|3
81|biustonosz|biustonosz|3
82|biustonosz - luwa|biustonosz - luwa|3
83|biustonosz - selmark|biustonosz - selmark|3
84|biustonosz - simone perele|biustonosz - simone perele|3
85|biustonosz - triumph|biustonosz - triumph|3
86|biustonosz - velisere|biustonosz - velisere|3
87|body|body|3
88|body - luwa|body - luwa|3
89|body - selmark|body - selmark|3
90|body - simone perele|body - simone perele|3
91|body - triumph|body - triumph|3
92|body - velisere|body - velisere|3
93|dres|dres|3
94|dres - triumph|dres - triumph|3
95|figi|figi|3
96|figi - luwa|figi - luwa|3
97|figi - selmark|figi - selmark|3
98|figi - simone perele|figi - simone perele|3
99|figi - triumph|figi - triumph|3
100|figi - velisere|figi - velisere|3
101|inne - bielizna|inne - bielizna|3
102|koszula nocna|koszula nocna|3
103|koszula nocna - coemi|koszula nocna - coemi|3
104|koszula nocna - triumph|koszula nocna - triumph|3
105|koszulka (bluzka, halka)|koszulka (bluzka, halka)|3
106|koszulka (bluzka, halka) - triumph|koszulka (bluzka, halka) - triumph|3
107|kąpielówki męskie|kąpielówki męskie|3
108|majtki|majtki|3
109|majtki - luwa|majtki - luwa|3
110|majtki - selmark|majtki - selmark|3
111|majtki - simone perele|majtki - simone perele|3
112|majtki - triumph|majtki - triumph|3
113|majtki - velisere|majtki - velisere|3
114|pareo|pareo|3
115|piżama|piżama|3
116|piżama - coemi|piżama - coemi|3
117|piżama - triumph|piżama - triumph|3
118|podkolanówki|podkolanówki|3
119|pończochy|pończochy|3
120|rajstopy|rajstopy|3
121|satyna - coemi|satyna - coemi|3
122|satyna - triumph|satyna - triumph|3
123|skarpety|skarpety|3
124|sloggi|sloggi|3
125|spodnie|spodnie|3
126|stringi|stringi|3
127|stringi - luwa|stringi - luwa|3
128|stringi - selmark|stringi - selmark|3
129|stringi - simone perele|stringi - simone perele|3
130|stringi - triumph|stringi - triumph|3
131|stringi - velisere|stringi - velisere|3
132|strój kąpielowy|strój kąpielowy|3
133|strój kąpielowy - selmark|strój kąpielowy - selmark|3
134|strój kąpielowy - triumph|strój kąpielowy - triumph|3
135|odzież plażowa|odzież plażowa|3
136|szlafrok|szlafrok|3
137|zegarek - złoty pr. 585|zegarek - złoty pr. 585|4
138|złoto|złoto pr. 585|4
139|złoto - brylanty|złoto - brylanty|4
140|złoto - kam. naturalne|złoto - kam. naturalne|4
141|złoto - kam. szlachetne|złoto - kam. szlachetne|4
142|złoto pr. 333|złoto pr. 333|4
